Raw_Taxon,Stele Diameter,Stele Area,No Primary Metaxylem Vessels,Primary Metaxylem Diameter,Primary Metaxylem Area,Endodermal Thickening,Endodermal Cell Depth
Pharus lappulaceus,,,,23.484,433.142,,
Pharus lappulaceus,,,,20.196,320.347,,
Pharus latifolius,416.611,136317.586,14,33.146,862.888,8.283,15.428
Pharus latifolius,,,,26.282,542.497,8.72,13.19
Pharus latifolius,,,,28.978,659.53,5.365,11.5
Pharus latifolius,,,,33.829,898.822,6.638,13.205
Pharus latifolius,,,,33.634,888.473,10.432,15.728
Pharus latifolius,,,,24.837,484.513,10.416,12.997
Pharus latifolius,,,,26.917,569.044,8.487,14.318
Pharus latifolius,,,,30.301,721.101,,
Pharus latifolius,,,,33.655,889.591,,
Pharus latifolius,,,,32.313,820.037,,
Pharus latifolius,,,,34.193,918.245,,
Pharus latifolius,,,,28.565,640.835,,
Pharus latifolius,,,,30.953,752.485,,
Pharus latifolius,,,,33.667,890.215,,
Pharus latifolius,,,,31.178,763.484,,
Phragmites australis,195.37,29978.212,9,23.329,427.45,1.959,15.025
Phragmites australis,,,,25.483,510.037,2.542,12.657
Phragmites australis,,,,23.42,430.783,2.163,18.118
Phragmites australis,,,,28.891,655.556,3.913,10.276
Phragmites australis,,,,29.355,676.793,2.022,13.212
Phragmites australis,,,,17.572,242.498,2.564,15.239
Phragmites australis,,,,32.427,825.855,2.692,9.586
Phragmites australis,,,,31.305,769.693,1.817,11.787
Phragmites australis,,,,31.628,785.636,3.065,9.487
Phragmites australis,,,,,,1.847,8.599
Phyllostachys aurea,638.359,320051.366,11,60.963,2918.957,8.934,16.391
Phyllostachys aurea,,,,60.787,2902.05,8.99,12.581
Phyllostachys aurea,,,,47.5,1772.063,10.278,16.941
Phyllostachys aurea,,,,59.501,2780.575,8.849,16.698
Phyllostachys aurea,,,,55.287,2400.702,8.937,13.822
Phyllostachys aurea,,,,39.574,1230.015,8.293,14.318
Phyllostachys aurea,,,,50.405,1995.453,7.785,13.006
Phyllostachys aurea,,,,66.606,3484.285,7.007,14.483
Phyllostachys aurea,,,,58.719,2707.946,7.861,10.717
Phyllostachys aurea,,,,61.773,2996.973,8.789,12.405
Phyllostachys aurea,,,,59.63,2792.713,,
Phyllostachys aurea,,,,55.201,2393.208,,
Poa pratensis,426.106,142601.997,11,31.736,791.024,8.537,13.55
Poa pratensis,,,,27.033,573.955,5.084,13.492
Poa pratensis,,,,28.701,646.961,6.766,15.139
Poa pratensis,,,,30.69,739.768,7.006,16.42
Poa pratensis,,,,29.74,694.675,8.455,17.416
Poa pratensis,,,,36.029,1019.518,5.034,12.903
Poa pratensis,,,,19.803,307.999,7.429,16.297
Poa pratensis,,,,25.865,525.057,7.374,15.122
Poa pratensis,,,,31.771,792.785,5.532,16.073
Poa pratensis,,,,27.137,578.368,6.901,18.216
Poa pratensis,,,,31.283,768.614,,
Raddia brasiliensis,288.101,65189.577,13,23.59,437.062,11.984,20.828
Raddia brasiliensis,,,,30.333,722.661,11.845,19.239
Raddia brasiliensis,,,,29.911,702.683,10.615,17.128
Raddia brasiliensis,,,,23.186,422.241,11.115,18.44
Raddia brasiliensis,,,,28.366,631.972,10.702,20.099
Raddia brasiliensis,,,,29.771,696.111,11.391,19.702
Raddia brasiliensis,,,,27.115,577.446,12.242,20.728
Raddia brasiliensis,,,,26.804,564.259,10.401,16.711
Raddia brasiliensis,,,,31.785,793.456,,
Raddia brasiliensis,,,,33.711,892.572,,
Raddia brasiliensis,,,,36.062,1021.405,,
Raddia brasiliensis,,,,24.251,461.915,,
Raddia brasiliensis,,,,36.482,1045.314,,
Rhytidosperma setifolium,288.806,65509.326,9,31.46,777.324,3.658,11.152
Rhytidosperma setifolium,,,,29.815,698.176,4.996,13.386
Rhytidosperma setifolium,,,,24.228,461.034,3.567,13.752
Rhytidosperma setifolium,,,,34.903,956.763,4.543,15.456
Rhytidosperma setifolium,,,,35.909,1012.736,6.107,16.174
Rhytidosperma setifolium,,,,31.807,794.588,2.522,10.382
Rhytidosperma setifolium,,,,29.34,676.08,3.381,10.135
Rhytidosperma setifolium,,,,27.447,591.67,3.607,12.981
Scolochloa festucacea,117.229,10793.475,1,44.066,1525.121,3.932,14.987
Scolochloa festucacea,,,,,,3.152,20.41
Scolochloa festucacea,,,,,,3.945,20.088
Scolochloa festucacea,,,,,,5.537,18.008
Scolochloa festucacea,,,,,,4.37,15.882
Scolochloa festucacea,,,,,,3.345,11.878
Setaria italica,246.412,47688.561,6,39.753,1241.167,2.535,18.561
Setaria italica,,,,45.742,1643.283,1.897,10.944
Setaria italica,,,,48.278,1830.541,1.754,14.139
Setaria italica,,,,44.258,1538.423,1.451,14.239
Setaria italica,,,,40.903,1314.037,1.889,12.749
Setaria italica,,,,42.152,1395.492,1.754,14.496
Setaria italica,,,,,,2.369,13.402
Sorghum bicolor,346.555,94326.766,6,66.519,3475.187,5.522,13.373
Sorghum bicolor,,,,67.727,3602.584,6.421,11.776
Sorghum bicolor,,,,66.208,3442.767,4.845,16.093
Sorghum bicolor,,,,61.654,2985.422,3.562,16.344
Sorghum bicolor,,,,67.671,3596.609,4.269,17.599
Sorghum bicolor,,,,49.628,1934.375,4.023,12.132
Sorghum bicolor,,,,,,4.594,16.876
Sorghum bicolor,,,,,,4.537,16.761
Spartina pectinata,463.644,168833.469,12,33.447,878.642,1.668,7.563
Spartina pectinata,,,,31.118,760.532,1.187,7.835
Spartina pectinata,,,,31.634,785.94,1.622,6.659
Spartina pectinata,,,,31.279,768.415,1.967,8.199
Spartina pectinata,,,,34.706,946.019,2.052,8.615
Spartina pectinata,,,,32.009,804.713,1.835,7.649
Spartina pectinata,,,,30.891,749.463,1.369,7.194
Spartina pectinata,,,,31.426,775.647,1.352,7.124
Spartina pectinata,,,,32.278,818.266,1.511,7.283
Spartina pectinata,,,,30.443,727.892,1.833,8.067
Spartina pectinata,,,,29.674,691.562,,
Spartina pectinata,,,,29.15,667.349,,
Steinchisma decipens,275.544,59630.879,12,31.728,790.647,1.007,10.657
Steinchisma decipens,,,,36.391,1040.125,0.995,14.205
Steinchisma decipens,,,,35.561,993.219,0.846,7.595
Steinchisma decipens,,,,27.761,605.306,0.99,12.914
Steinchisma decipens,,,,34.917,957.57,1.135,10.296
Steinchisma decipens,,,,33.771,895.717,1.629,12.485
Steinchisma decipens,,,,29.854,700,1.263,8.558
Steinchisma decipens,,,,37.279,1091.466,1.502,4.962
Steinchisma decipens,,,,38.267,1150.133,1.135,12.165
Steinchisma decipens,,,,31.031,756.298,,
Steinchisma decipens,,,,29.239,671.468,,
Steinchisma decipens,,,,34.731,947.361,,
Steinchisma laxum,181.774,25951.061,6,28.894,655.693,2.263,10.481
Steinchisma laxum,,,,28.08,619.289,3.496,9.847
Steinchisma laxum,,,,28.23,625.903,3.772,15.393
Steinchisma laxum,,,,31.338,771.297,2.951,12.892
Steinchisma laxum,,,,33.645,889.05,3.534,12.166
Steinchisma laxum,,,,33.068,858.81,3.595,13.318
Stipagrostis hirtigluma,294.299,68024.92,7,53.653,2260.895,10.006,21.215
Stipagrostis hirtigluma,,,,50.402,1995.17,13.384,20.871
Stipagrostis hirtigluma,,,,47.104,1742.662,10.964,21.758
Stipagrostis hirtigluma,,,,52.639,2094.328,13.693,19.524
Stipagrostis hirtigluma,,,,53.834,2276.146,9.832,15.864
Stipagrostis hirtigluma,,,,33.595,886.419,7.261,17.92
Stipagrostis hirtigluma,,,,31.211,765.06,,
Streptochaeta spicata,428.048,143904.536,33,24.479,470.635,10.384,30.072
Streptochaeta spicata,,,,31.502,779.41,10.289,21.381
Streptochaeta spicata,,,,28.288,628.492,11.483,26.376
Streptochaeta spicata,,,,23.415,430.595,6.782,25.461
Streptochaeta spicata,,,,29.88,701.236,8.262,32.165
Streptochaeta spicata,,,,34.038,909.941,11.64,30.271
Streptochaeta spicata,,,,20.444,328.271,5.419,29.698
Streptochaeta spicata,,,,25.974,529.848,10.893,29.985
Streptochaeta spicata,,,,20.747,338.05,8.44,26.927
Streptochaeta spicata,,,,29.77,696.058,11.14,24.115
Streptochaeta spicata,,,,29.925,703.333,8.478,26.601
Streptochaeta spicata,,,,35.361,982.077,,
Streptochaeta spicata,,,,30.378,724.779,,
Streptochaeta spicata,,,,27.214,581.649,,
Streptochaeta spicata,,,,30.433,727.431,,
Streptochaeta spicata,,,,23.878,447.796,,
Streptochaeta spicata,,,,28.143,622.067,,
Streptochaeta spicata,,,,30.268,719.527,,
Streptochaeta spicata,,,,27.398,589.573,,
Streptochaeta spicata,,,,23.478,432.932,,
Streptochaeta spicata,,,,23.953,450.605,,
Streptochaeta spicata,,,,26.253,541.304,,
Streptochaeta spicata,,,,26.736,561.398,,
Streptochaeta spicata,,,,30.413,726.466,,
Streptochaeta spicata,,,,21.555,364.894,,
Streptochaeta spicata,,,,27.383,588.913,,
Streptochaeta spicata,,,,27.797,606.853,,
Streptochaeta spicata,,,,27.168,579.699,,
Streptochaeta spicata,,,,33.78,896.23,,
Streptochaeta spicata,,,,27.393,589.364,,
Streptochaeta spicata,,,,20.586,332.83,,
Streptochaeta spicata,,,,24.794,482.815,,
Streptochaeta spicata,,,,24.853,485.111,,
Streptogyna americana,490.034,188600.565,17,32.763,843.049,13.101,19.727
Streptogyna americana,,,,35.285,977.867,13.101,19.561
Streptogyna americana,,,,36.476,1044.977,14.166,17.215
Streptogyna americana,,,,32.427,825.862,12.389,20.085
Streptogyna americana,,,,22.655,403.102,14.297,17.706
Streptogyna americana,,,,24.95,488.907,11.98,15.411
Streptogyna americana,,,,24.022,453.207,12.766,17.651
Streptogyna americana,,,,28.068,618.759,14.561,16.644
Streptogyna americana,,,,30.467,729.058,13.301,16.005
Streptogyna americana,,,,32.569,833.116,19.313,24.187
Streptogyna americana,,,,29.058,663.17,12.929,16.354
Streptogyna americana,,,,27.676,601.572,,
Streptogyna americana,,,,28.13,621.489,,
Streptogyna americana,,,,19.524,299.382,,
Streptogyna americana,,,,22.971,414.413,,
Streptogyna americana,,,,27.529,595.202,,
Streptogyna americana,,,,36.059,1021.237,,
Triticum aestivum,196.187,30229.4,4,35.251,975.945,7.375,15.957
Triticum aestivum,,,,41.572,1357.327,8.129,15.671
Triticum aestivum,,,,38.816,1183.362,10.07,17.547
Triticum aestivum,,,,54.353,2320.259,9.027,17.106
Triticum aestivum,,,,,,10.996,17.053
Triticum aestivum,,,,,,7.773,17.352
Triticum aestivum,,,,,,8.744,14.239
Triticum aestivum,,,,,,7.262,11.986
Triticum aestivum,,,,,,7.3,11.583
Urochloa repens,309.323,75147.553,,30.571,734.035,8.66,13.427
Urochloa repens,,,,45.21,1677.138,7.259,13.736
Urochloa repens,,,,49.817,1949.164,7.34,14.686
Urochloa repens,,,,35.244,975.554,7.447,15.372
Urochloa repens,,,,42.539,1421.216,6.421,14.005
Urochloa repens,,,,31.856,797.029,8.036,12.698
Urochloa repens,,,,33.79,1181.761,8.84,13.956
Urochloa repens,,,,,,7.189,14.514
Urochloa repens,,,,,,8.028,14.573
Urochloa repens,,,,,,7.667,16.285
Urochloa repens,,,,,,7.531,14.558
Urochloa repens,,,,,,7.125,14.94
Urochloa repens,,,,,,7.88,12.828
Urochloa repens,,,,,,9.973,15.155
Zea mays,510.474,204662.288,5,92.447,6712.405,12.873,23.408
Zea mays,,,,91.182,6529.962,12.189,17.177
Zea mays,,,,97.054,7398.11,17.213,19.489
Zea mays,,,,92.944,6784.673,13.276,16.615
Zea mays,,,,92.227,6680.434,12.84,18.426
Zea mays,,,,,,12.206,15.147
Zea mays,,,,,,10.485,14.447
Zea mays,,,,,,12.322,17.974
Zea mays,,,,,,15.258,21.64
Zea mays,,,,,,13.806,18.924
Zea mays,,,,,,9.523,16.563
Zea mays,,,,,,12.695,17.573
Zea mays,,,,,,11.338,17.522
Zea mays,,,,,,10.607,17.081
Zea mays,,,,,,15.571,21.578
Zea mays,,,,,,9.159,16.336
Zea mays,,,,,,14.541,20.736
Zea mays,,,,,,12.695,17.974
Zea mays,,,,,,14.417,19.28
Zea mays,,,,,,10.201,15.951
